text,label
Scientists map full genome of endangered species,REAL
Scientists confirm link between air pollution and dementia,REAL
Pakistan and India sign secret deal to jointly attack Israel sources say,FAKE
Government admits planting fake news to distract citizens,FAKE
India and China already at war government hiding casualties from public,FAKE
Hospital develops faster cancer screening method,REAL
China has already launched cyberattack that destroyed US satellite network,FAKE
Wheat prices rise globally due to supply chain disruptions,REAL
University study links sleep deprivation to heart disease,REAL
India bans all opposition parties secret law passed at midnight session,FAKE
Pakistan and India sign secret deal to jointly attack Israel sources say,FAKE
G20 nations agree on framework to regulate artificial intelligence globally,REAL
Prime Minister Modi inaugurates new expressway connecting Delhi to Mumbai,REAL
Leaked document proves COVID vaccine contains tracking device,FAKE
Doctors paid to keep patients sick and never cure them,FAKE
Time traveler from 2075 warns of upcoming world disaster,FAKE
WW3 already started underground governments hiding it from all citizens,FAKE
Central bank holds rates steady amid global uncertainty,REAL
Government admits planting fake news to distract citizens,FAKE
Iran develops invisible fighter jet that cannot be detected by any radar,FAKE
Secret society controls all media to hide the real truth,FAKE
Artemis astronauts found ancient alien writing on lunar surface NASA hiding it,FAKE
Prime Minister of India- Narendra Modi innaugurates New metro line inaugurated connecting airport to city centre,REAL
Aliens built the pyramids scientists finally admit,FAKE
India becomes first country to land spacecraft near lunar south pole,REAL
Artemis II crew replaced by high-tech androids during 6-minute communication blackout.,FAKE
Supreme court upholds privacy rights in landmark ruling,REAL
New study confirms benefits of Mediterranean diet,REAL
Hollywood celebrities secretly running global child trafficking ring,FAKE
Quantum healing crystals cure all disease in 24 hours,FAKE
Billionaires have found the secret to immortality and hidden it,FAKE
Magnetic fields from microwaves causing mass infertility worldwide,FAKE
Bananas genetically modified to carry government spy chips,FAKE
NATO countries secretly mobilising troops for planned attack on Russia,FAKE
World War 3 declared after Iran bombs US aircraft carrier in Persian Gulf,FAKE
Scientists bribed to hide evidence of second sun beyond clouds,FAKE
Modi government approves free ration extension for 800 million citizens,REAL
Doctors warn of rising cases of measles in unvaccinated populations,REAL
Electric vehicle sales hit record high globally,REAL
New submarine cable to improve internet speeds across region,REAL
Electric vehicle sales hit record high globally,REAL
Medical trial shows promising results for diabetes treatment,REAL
India launches new education policy targeting rural schools,REAL
Modi government approves free ration extension for 800 million citizens,REAL
Artemis astronauts found ancient alien writing on lunar surface NASA hiding it,FAKE
Government putting mind control chemicals in tap water,FAKE
Government expands free school meal program,REAL
Earthquake of magnitude 5.4 recorded off coastal region,REAL
Quantum healing crystals cure all disease in 24 hours,FAKE
Iran successfully tests weapon that can stop all electronics worldwide,FAKE
Moon landing was filmed in a Hollywood studio sources say,FAKE
Agriculture ministry reports wheat production increase,REAL
Defense ministry confirms successful missile defense test,REAL
ISRO scientist reveals Chandrayaan found aliens but Modi suppressed truth,FAKE
Chocolate proven to melt belly fat overnight study suppressed,FAKE
Government announces infrastructure spending plan,REAL
Tech company reports record quarterly earnings,REAL
Child smuggling ring run by top politicians finally exposed,FAKE
University researchers develop cheaper solar panel material,REAL
Space agency confirms launch date for next moon mission,REAL
Fluoride in water supply lowers IQ to control citizens,FAKE
Modi government approves free ration extension for 800 million citizens,REAL
Secret Artemis mission actually launched to Mars to rescue stranded time travelers.Iran launches full scale nuclear attack on Israel war officially begins,FAKE
Bill Gates planning to microchip entire world population,FAKE
Central bank raises interest rates to curb inflation,REAL
India and Pakistan agree to ceasefire after days of cross border tensions,REAL
Vaccine rollout reaches 80 percent of target population,REAL
India and China already at war government hiding casualties from public,FAKE
Scientists confirm link between air pollution and dementia,REAL
Russia and Ukraine hold first direct talks in over two years in Istanbul,REAL
Russia and Ukraine hold first direct talks in over two years in Istanbul,REAL
Ministry announces pension hike for retired government employees,REAL
Doctors perform first successful robotic heart surgery in region,REAL
India becomes first country to land spacecraft near lunar south pole,REAL
NASA Artemis crew encountered alien base on Moon footage suppressed,FAKE
Health ministry confirms decline in tuberculosis cases,REAL
Renewable energy surpasses coal in national grid for first time,REAL
Indian army conducts high altitude military exercise near China border,REAL
Chemtrails confirmed as government population control program,FAKE
Researchers find new species of deep-sea fish,REAL
World leaders gather at UN summit to discuss global food crisis solutions,REAL
Child smuggling ring run by top politicians finally exposed,FAKE
City council approves new affordable housing development,REAL
International court issues ruling on maritime dispute,REAL
James Webb telescope photographed God NASA deleted the image immediately,FAKE
NASA confirms Artemis III mission will land near lunar south pole,REAL
Modi secretly builds underground bunker city beneath New Delhi exposed,FAKE
Artemis programme set to return humans to Moon surface by 2027,REAL
Secret underground city of elites discovered beneath capital,FAKE
China conducts military drills near Taiwan strait amid diplomatic tensions,REAL
Space agency confirms launch date for next moon mission,REAL
Researchers find new species of deep-sea fish,REAL
Renewable energy surpasses coal in national grid for first time,REAL
NASA rover discovers ancient river delta on Mars,REAL
Heavy rainfall causes flooding in several districts,REAL
Artificial intelligence already controls all world stock markets,FAKE
Tech company reports record quarterly earnings,REAL
Sun is actually a giant plasma portal to another dimension,FAKE
International film festival opens with record submissions this year,REAL
India bans all opposition parties secret law passed at midnight session,FAKE
Vaccine rollout reaches 80 percent of target population,REAL
Miracle seed cures diabetes in three days doctors hate this,FAKE
Forest fire contained after thousands of acres burned,REAL
Moon landing was filmed in a Hollywood studio sources say,FAKE
Agriculture ministry reports wheat production increase,REAL
